title,description,pub_date,sentiment_score,sentiment_label,ticker,company_name,source,link,analysis_text
NVIDIA Corporation Reports Q3 2023 Earnings Results,NVIDIA Corporation announces Q3 2023 Earnings financial results with mixed performance.,2023-10-25,-0.4,bad,NVDA,NVIDIA Corporation,Simulated Earnings Events,https://example.com/earnings/NVDA/2023-10-25,NVIDIA Corporation Reports Q3 2023 Earnings Results NVIDIA Corporation announces Q3 2023 Earnings financial results with mixed performance.
NVIDIA Faces Export Restrictions,"US government imposes new export restrictions on NVIDIA chips to China, affecting revenue.",2023-11-21,-0.6,bad,NVDA,NVIDIA Corporation,Historical Events Database,https://example.com/news/NVDA/2023-11-21,"NVIDIA Faces Export Restrictions US government imposes new export restrictions on NVIDIA chips to China, affecting revenue."
NVIDIA Corporation - Holiday Season Performance,Company reports strong performance during holiday season.,2023-12-10,0.4643582362820659,good,NVDA,NVIDIA Corporation,Simulated Market Events,https://example.com/market/NVDA/2023-12-10,NVIDIA Corporation - Holiday Season Performance Company reports strong performance during holiday season.
NVIDIA CES 2024 AI Announcements,"NVIDIA showcases new AI technologies and partnerships at CES 2024, driving investor optimism.",2024-01-08,0.7,good,NVDA,NVIDIA Corporation,Historical Events Database,https://example.com/news/NVDA/2024-01-08,"NVIDIA CES 2024 AI Announcements NVIDIA showcases new AI technologies and partnerships at CES 2024, driving investor optimism."
NVIDIA Corporation Reports Q4 2023 Earnings Results,NVIDIA Corporation announces Q4 2023 Earnings financial results with strong performance.,2024-01-25,0.8,good,NVDA,NVIDIA Corporation,Simulated Earnings Events,https://example.com/earnings/NVDA/2024-01-25,NVIDIA Corporation Reports Q4 2023 Earnings Results NVIDIA Corporation announces Q4 2023 Earnings financial results with strong performance.
NVIDIA Stock Split and Strong Guidance,NVIDIA announces stock split and raises guidance for next quarter on strong AI demand.,2024-02-14,0.9,good,NVDA,NVIDIA Corporation,Historical Events Database,https://example.com/news/NVDA/2024-02-14,NVIDIA Stock Split and Strong Guidance NVIDIA announces stock split and raises guidance for next quarter on strong AI demand.
NVIDIA Corporation - Market Analysis Update,Analysts provide updated market analysis and price targets.,2024-03-15,-0.044585433620504655,neutral,NVDA,NVIDIA Corporation,Simulated Market Events,https://example.com/market/NVDA/2024-03-15,NVIDIA Corporation - Market Analysis Update Analysts provide updated market analysis and price targets.
NVIDIA Corporation Reports Q1 2024 Earnings Results,NVIDIA Corporation announces Q1 2024 Earnings financial results with strong performance.,2024-04-25,0.8,good,NVDA,NVIDIA Corporation,Simulated Earnings Events,https://example.com/earnings/NVDA/2024-04-25,NVIDIA Corporation Reports Q1 2024 Earnings Results NVIDIA Corporation announces Q1 2024 Earnings financial results with strong performance.
NVIDIA Reports Record AI Chip Revenue,NVIDIA posts record quarterly revenue driven by unprecedented demand for AI chips and data center products.,2024-05-22,0.9,good,NVDA,NVIDIA Corporation,Historical Events Database,https://example.com/news/NVDA/2024-05-22,NVIDIA Reports Record AI Chip Revenue NVIDIA posts record quarterly revenue driven by unprecedented demand for AI chips and data center products.
NVIDIA Corporation - Industry Conference Participation,Company participates in major industry conference with positive reception.,2024-06-10,0.28624024840253176,good,NVDA,NVIDIA Corporation,Simulated Market Events,https://example.com/market/NVDA/2024-06-10,NVIDIA Corporation - Industry Conference Participation Company participates in major industry conference with positive reception.
NVIDIA Corporation Reports Q2 2024 Earnings Results,NVIDIA Corporation announces Q2 2024 Earnings financial results with strong performance.,2024-07-25,0.8,good,NVDA,NVIDIA Corporation,Simulated Earnings Events,https://example.com/earnings/NVDA/2024-07-25,NVIDIA Corporation Reports Q2 2024 Earnings Results NVIDIA Corporation announces Q2 2024 Earnings financial results with strong performance.
NVIDIA Announces Next-Gen AI Architecture,NVIDIA unveils next-generation AI architecture promising significant performance improvements.,2024-08-21,0.8,good,NVDA,NVIDIA Corporation,Historical Events Database,https://example.com/news/NVDA/2024-08-21,NVIDIA Announces Next-Gen AI Architecture NVIDIA unveils next-generation AI architecture promising significant performance improvements.
NVIDIA Corporation - Regulatory Update,Company provides update on regulatory matters and compliance.,2024-09-05,-0.15378830248053738,neutral,NVDA,NVIDIA Corporation,Simulated Market Events,https://example.com/market/NVDA/2024-09-05,NVIDIA Corporation - Regulatory Update Company provides update on regulatory matters and compliance.
NVIDIA Corporation Reports Q3 2024 Earnings Results,NVIDIA Corporation announces Q3 2024 Earnings financial results with strong performance.,2024-10-25,0.8,good,NVDA,NVIDIA Corporation,Simulated Earnings Events,https://example.com/earnings/NVDA/2024-10-25,NVIDIA Corporation Reports Q3 2024 Earnings Results NVIDIA Corporation announces Q3 2024 Earnings financial results with strong performance.
NVIDIA Corporation - Year-End Guidance Update,Company updates full-year guidance based on current performance.,2024-11-20,-0.0024323657481495897,neutral,NVDA,NVIDIA Corporation,Simulated Market Events,https://example.com/market/NVDA/2024-11-20,NVIDIA Corporation - Year-End Guidance Update Company updates full-year guidance based on current performance.
